Month,Year,Municipality,Tax_Rev,RetainedByCity_PercentOfTotalTax,Rec_SpecialSalesTax_Amount,Combined_Local_Govs,Notes,Unincorp_County,NR_Code,Unincorp_NR_Code
2,2014,Breckenridge,11410,0.15,0.1,,,,,
2,2014,Denver,128586,0.15,0.1,,,,,
2,2014,Telluride,6218,0.15,0.1,,,,,
2,2014,Combined Local Governments,64055,0.15,0.1,"Alma, Carbondale, Central City, Edgewater, Empire, Frisco, Garden City, Idaho Springs, Northglenn, Silverthorne, Steamboat Springs, Wheat Ridge, Clear Creek County, Gilpin County, and Pueblo County","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to releaseaggregated data only when there are at leastthree taxpayers in a given category and noneof them represents more than 80% of the total.",,,
3,2014,Breckenridge,9547,0.15,0.1,,,,,
3,2014,Denver,125458,0.15,0.1,,,,,
3,2014,Idaho Springs,4223,0.15,0.1,,,,,
3,2014,Pueblo County,12347,0.15,0.1,,,,,
3,2014,Telluride,2323,0.15,0.1,,,,,
3,2014,Combined Local Governments,58776,0.15,0.1,"Alma, Carbondale, Central City, Edgewater,Empire, Frisco, Garden City, Northglenn,Silverthorne, Steamboat Springs, Wheat Ridge,Clear Creek County, and Gilpin County","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to releaseaggregated data only when there are at leastthree taxpayers in a given category and noneof them represents more than 80% of the total.",,,
4,2014,Boulder,17039,0.15,0.1,,,,,
4,2014,Breckenridge,6705,0.15,0.1,,,,,
4,2014,Denver,152090,0.15,0.1,,,,,
4,2014,Edgewater,9051,0.15,0.1,,,,,
4,2014,Idaho Springs,4464,0.15,0.1,,,,,
4,2014,Pueblo County,17940,0.15,0.1,,,,,
4,2014,Telluride,4794,0.15,0.1,,,,,
4,2014,Combined Local Governments,73130,0.15,0.1,"Alma, Carbondale, Central City, Crested Butte,Empire, Frisco, Garden City, Georgetown, Leadville,Mountain View, Nederland, Northglenn, Ridgway, Silverthorne, Steamboat Springs, Wheat Ridge,Boulder County, Clear Creek County, Gilpin County, Park County and Pitkin County","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to releaseaggregated data only when there are at leastthree taxpayers in a given category and noneof them represents more than 80% of the total.",,,
5,2014,Boulder,23239,0.15,0.1,,,,,
5,2014,Breckenridge,14273,0.15,0.1,,,,,
5,2014,Denver,190527,0.15,0.1,,,,,
5,2014,Edgewater,11785,0.15,0.1,,,,,
5,2014,Idaho Springs,3187,0.15,0.1,,,,,
5,2014,Pueblo County,17142,0.15,0.1,,,,,
5,2014,Telluride,2936,0.15,0.1,,,,,
5,2014,Combined Local Governments,66966,0.15,0.1,"Alma, Aspen, Carbondale, Central City, Crested Butte,Frisco, Garden City, Georgetown, Leadville, Louisville,Mountain View, Nederland, Northglenn, Ridgway, Silverthorne, Steamboat Springs, Wheat Ridge,Boulder County, Clear Creek County, Gilpin County, Park County and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to releaseaggregated data only when there are at leastthree taxpayers in a given category and noneof them represents more than 80% of the total.",,,
6,2014,Boulder,27851,0.15,0.1,,,,,
6,2014,Breckenridge,4585,0.15,0.1,,,,,
6,2014,Denver,168463,0.15,0.1,,,,,
6,2014,Edgewater,11868,0.15,0.1,,,,,
6,2014,Garden City,10413,0.15,0.1,,,,,
6,2014,Idaho Springs,3063,0.15,0.1,,,,,
6,2014,Pueblo County,20440,0.15,0.1,,,,,
6,2014,Wheat Ridge,5709,0.15,0.1,,,,,
6,2014,Telluride,3161,0.15,0.1,,,,,
10,2014,Breckenridge,5967,0.15,0.1,,,,,
10,2014,Crested Butte,4422,0.15,0.1,,,,,
6,2014,Combined Local Governments,59805,0.15,0.1,"Alma, Aspen, Carbondale, Central City, Crested Butte, Eagle,Empire, Frisco, Georgetown, Leadville, Louisville,Mountain View, Nederland, Northglenn, Ridgway, Silverthorne,Steamboat Springs, Boulder County, Clear Creek County,Gilpin County, Larimer County, Park County and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
7,2014,Boulder,31482,0.15,0.1,,,,,
7,2014,Breckenridge,5921,0.15,0.1,,,,,
7,2014,Denver,187789,0.15,0.1,,,,,
7,2014,Edgewater,12577,0.15,0.1,,,,,
7,2014,Garden City,11929,0.15,0.1,,,,,
7,2014,Idaho Springs,3749,0.15,0.1,,,,,
7,2014,Pueblo County,22086,0.15,0.1,,,,,
