,City,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
0,Elizabeth,98025,22434,50.49,93.72,0.73,0.92,6.77,53.9,,46.0,22.33
1,Agate,71875,620,58.55,95.48,0.0,0.0,5.97,41.45,35.0,52.3,21.45
2,Kim,49375,340,52.65,97.94,0.0,0.59,8.53,43.24,,53.6,19.41
3,Simla,55543,1499,50.17,98.73,0.0,0.0,3.27,49.23,,45.4,22.48
4,Model,58229,548,90.33,76.09,16.97,0.0,12.96,8.94,,47.2,2.37
5,Branson,36875,188,56.38,100.0,0.0,0.0,17.02,42.02,,45.3,28.19
6,Aguilar,45833,1019,53.78,86.26,0.0,0.0,33.27,29.93,,53.3,18.06
7,Weston,46250,1237,51.01,88.76,0.0,1.37,29.1,41.88,,57.1,15.04
8,Trinidad,39292,10819,49.58,84.37,0.32,0.9,47.81,45.77,,43.9,19.05
9,Yuma,43897,5101,49.34,88.77,2.92,0.0,26.35,53.99,13.0,43.9,19.84
10,Wray,44778,4005,49.44,98.08,0.0,0.0,18.2,44.19,,35.2,33.16
11,Hugo,43942,981,46.89,95.51,1.02,0.41,6.32,32.72,,46.9,29.36
12,Yampa,50385,851,57.34,94.01,0.24,1.29,6.82,44.42,,41.3,25.03
13,Hayden,62630,2570,50.82,91.98,0.35,0.12,9.65,56.23,,42.0,23.58
14,Steamboat Springs,72132,17678,52.4,95.02,0.96,1.37,7.07,61.51,13.0,39.3,18.15
15,Oak Creek,55909,3260,49.63,95.58,0.37,0.15,3.87,56.99,,46.0,17.73
16,Silverthorne,68911,12263,57.64,82.92,2.07,0.2,29.41,66.35,18.0,40.2,18.3
17,Breckenridge,76701,17459,52.41,95.11,0.17,0.61,3.16,64.28,12.0,39.2,14.65
18,Arriba,59167,334,52.4,97.9,0.6,0.3,4.19,47.9,,56.9,19.46
19,Karval,39583,505,52.08,97.43,0.0,0.4,11.29,29.31,,37.7,37.03
20,Limon,46167,3700,70.92,83.73,13.3,0.05,30.27,22.27,,36.8,15.08
21,Idaho Springs,71172,6754,50.33,93.75,1.01,0.98,4.53,56.11,,48.3,17.56
22,Georgetown,55759,2503,54.06,95.77,0.52,0.56,10.43,58.25,,48.7,13.5
23,Mosca-Hooper,45066,1090,53.21,88.72,0.0,0.83,23.21,37.8,,39.4,28.26
24,Alamosa,35993,15255,49.2,85.9,2.67,1.28,47.43,40.52,,30.6,24.04
25,Delta,39982,13999,52.45,92.82,1.4,1.64,21.72,35.17,19.0,40.5,21.55
26,Paonia,44205,3567,52.87,93.22,0.0,0.14,9.14,44.04,18.0,53.1,18.92
27,Cedaredge,41406,7869,48.01,94.01,1.94,0.7,9.86,31.38,,57.8,17.44
28,Hotchkiss,50075,4782,46.32,97.93,0.0,0.04,7.99,46.95,,48.5,22.84
29,Cotopaxi,49483,3471,47.94,94.58,0.12,2.16,4.52,40.68,,57.4,13.74
30,Penrose-Portland,61071,3860,49.82,96.94,0.47,1.37,5.78,42.72,,49.1,19.48
31,Florence,42143,9562,68.77,78.24,8.96,1.28,17.41,24.67,24.0,44.7,12.17
32,Pueblo,36840,115330,49.18,73.37,2.85,0.9,50.39,39.22,18.0,42.0,22.72
33,Colorado City-Rye,57380,4372,47.58,93.62,0.09,1.83,15.16,35.89,,55.9,19.67
34,Huerfano Valley,41523,717,57.6,87.59,0.0,0.0,22.73,44.07,,55.7,9.21
35,St. Charles Mesa,58726,8728,48.57,88.24,0.44,1.2,32.91,41.22,,47.5,22.34
36,Pueblo West,64919,30961,49.23,87.83,0.93,0.69,22.16,45.77,,41.1,25.1
37,Avondale,58171,2766,49.78,81.96,0.0,0.0,38.14,38.97,,40.3,28.27
38,Northeast Pueblo,45234,494,52.83,95.75,0.81,0.0,15.99,39.47,,48.8,16.19
39,Montrose,45263,31696,48.85,92.6,0.45,1.04,20.4,41.72,15.0,45.5,22.13
40,Nucla,45500,2203,52.88,97.14,0.77,0.05,3.5,46.53,,53.6,16.39
