City,Tax_Rev
Adams County,156987.0
Antonito,218673.0
Aspen,538223.78
Aurora,4768785.84
Boulder,2707634.81
Boulder County,288675.11
Breckenridge,585244.53
Carbondale,97667.4
Central City,107851.11
Combined Local Governments,5128176.42
Commerce City,10348.0
Cortez,677927.45
Crested Butte,168560.76
De Beque,131028.0
Denver,20847472.16
Dillon,210641.0
Dinosaur,23008.0
Durango,1290213.28
Eagle County,285213.31
Edgewater,1515789.35
Federal Heights,213505.0
Fort Collins,880174.5700000001
Ft Collins,1545150.0
Garden City,1685897.57
Glendale,970218.98
Glenwood Springs,333552.65
Gunnison,177100.0
Idaho Springs,274746.49
Lafayette,75976.0
Leadville,95791.0
Log Lane Village,320053.0
Mancos,44747.0
Nederland,66281.0
Northglenn,1428043.5
Parachute,355171.0
Park County,41135.0
Pueblo,267145.0
Pueblo County,996128.91
Ridgway,205134.0
Salida,253621.0
Sheridan,3131.0
Steamboat Springs,438511.65
Sum of NR Local Governments,3603189.0
Telluride,300087.64
Thornton,91777.0
Trinidad,1806684.35
Wheat Ridge,717392.72
